DATE,MEASURE_NAME,OBS_VALUE,Temp,Implied_date,Geo
2017-05-01,Claimant count,95.09168699731418,-01,2017-05-01,England
2017-04-01,Claimant count,95.9647586022167,-01,2017-04-01,England
2017-03-01,Claimant count,95.13295157565534,-01,2017-03-01,England
2017-02-01,Claimant count,92.88801372590186,-01,2017-02-01,England
2017-01-01,Claimant count,89.39789912620445,-01,2017-01-01,England
2018-12-01,Claimant count,115.36924558215634,-01,2018-12-01,England
2018-11-01,Claimant count,112.69211556977696,-01,2018-11-01,England
2018-10-01,Claimant count,110.86127138337689,-01,2018-10-01,England
2018-09-01,Claimant count,108.86319706369947,-01,2018-09-01,England
2018-08-01,Claimant count,107.09171595491303,-01,2018-08-01,England
2018-07-01,Claimant count,105.46936648013147,-01,2018-07-01,England
2018-06-01,Claimant count,105.39552460309991,-01,2018-06-01,England
2018-05-01,Claimant count,106.39456176293862,-01,2018-05-01,England
2018-04-01,Claimant count,108.77198062736637,-01,2018-04-01,England
2018-03-01,Claimant count,104.64552279325,-01,2018-03-01,England
2018-02-01,Claimant count,102.36076824509712,-01,2018-02-01,England
2018-01-01,Claimant count,97.07673039751545,-01,2018-01-01,England
2019-12-01,Claimant count,145.24407636118812,-01,2019-12-01,England
2019-11-01,Claimant count,144.52520397008678,-01,2019-11-01,England
2019-10-01,Claimant count,142.98393577204578,-01,2019-10-01,England
2019-09-01,Claimant count,140.3364872984732,-01,2019-09-01,England
2019-08-01,Claimant count,139.76023108163872,-01,2019-08-01,England
2019-07-01,Claimant count,137.5152932318852,-01,2019-07-01,England
2019-06-01,Claimant count,136.40694113644096,-01,2019-06-01,England
2019-05-01,Claimant count,133.606741329009,-01,2019-05-01,England
2019-04-01,Claimant count,132.5157637928663,-01,2019-04-01,England
2019-03-01,Claimant count,130.40330695778707,-01,2019-03-01,England
2019-02-01,Claimant count,126.8111168221931,-01,2019-02-01,England
2019-01-01,Claimant count,119.62094503123801,-01,2019-01-01,England
2020-09-01,Claimant count,333.9614719147488,-01,2020-09-01,England
2020-09-01,Claimant count,333.9614719147488,-01,2020-09-01,England
2020-09-01,Claimant count,333.9614719147488,-01,2020-09-01,England
2020-09-01,Claimant count,333.9614719147488,-01,2020-09-01,England
2020-08-01,Claimant count,330.4069266576415,-01,2020-08-01,England
2020-07-01,Claimant count,324.49233709540806,-01,2020-07-01,England
2020-06-01,Claimant count,318.6226318113702,-01,2020-06-01,England
2020-05-01,Claimant count,327.9238125574627,-01,2020-05-01,England
2020-04-01,Claimant count,255.51099302845807,-01,2020-04-01,England
2020-03-01,Claimant count,153.98275574989322,-01,2020-03-01,England
